2.0.2,caliban-reporting,caliban-monix,caliban-tapir,caliban-tools,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
2.0.1,caliban-reporting,caliban-monix,caliban-tapir,caliban-tools,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.4.3,caliban-reporting,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
2.0.0,caliban-reporting,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.4.2,caliban-reporting,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.4.1,caliban-reporting,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
2.0.0-RC2,caliban-reporting,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.4.0,caliban-reporting,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
2.0.0-RC1,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.3.3,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.3.2,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.3.1,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.3.0,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.2.4,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.2.3,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.2.2,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.2.1,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.2.0,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.1.1,caliban-monix,caliban-tapir,caliban-macros,caliban,caliban-cats,caliban-federation,caliban-client,caliban-http4s,caliban-zio-http
1.1.0,caliban-monix,caliban-macros,caliban,caliban-cats,caliban-client,caliban-zio-http
1.0.1,caliban-monix,caliban-macros,caliban,caliban-cats,caliban-client,caliban-zio-http
1.0.0,caliban-monix,caliban-macros,caliban,caliban-cats,caliban-client,caliban-zio-http
0.10.1,caliban-monix,caliban-macros,caliban,caliban-cats,caliban-client,caliban-zio-http
