4.14.6,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.14.5,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.14.4,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.14.3,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.14.2,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.14.1,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.14.0,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.13.1,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.13.0,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.12.2,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.12.1,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.12.0,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.11.0,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.10.0,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.9.0,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.8.0,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.7.7,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
4.7.6,lucre-synth,soundprocesses-compiler,soundprocesses-core,soundprocesses-views
