2.0.0-M3,munit-cats-effect
2.0.0-M2,munit-cats-effect
2.0.0-M1,munit-cats-effect
1.0-37-a024f49,munit-cats-effect-2,munit-cats-effect-3
1.0-35-69fcb37,munit-cats-effect-2,munit-cats-effect-3
1.0-33-22fbe40,munit-cats-effect-2,munit-cats-effect-3
1.0-31-248187b,munit-cats-effect-2,munit-cats-effect-3
1.0-29-e26f248,munit-cats-effect-2,munit-cats-effect-3
1.0-26-2b5c90b,munit-cats-effect-2,munit-cats-effect-3
1.0-24-291bf85,munit-cats-effect-2,munit-cats-effect-3
1.0-22-b735470,munit-cats-effect-2,munit-cats-effect-3
1.0-20-f00c222,munit-cats-effect-2,munit-cats-effect-3
1.0-18-852751f,munit-cats-effect-2,munit-cats-effect-3
1.0-16-700e36d,munit-cats-effect-2,munit-cats-effect-3
1.0-14-3013f65,munit-cats-effect-2,munit-cats-effect-3
1.0-12-092b091,munit-cats-effect-2,munit-cats-effect-3
1.0-10-4ee40c7,munit-cats-effect-2,munit-cats-effect-3
1.0-8-1d95fff,munit-cats-effect-2,munit-cats-effect-3
1.0-6-97f2834,munit-cats-effect-2,munit-cats-effect-3
1.0-2-5970cb4,munit-cats-effect-2,munit-cats-effect-3
1.0.7,munit-cats-effect-2,munit-cats-effect-3
1.0-36-92c62eb,munit-cats-effect-2,munit-cats-effect-3
1.0-28-fae9efe,munit-cats-effect-2,munit-cats-effect-3
1.0-26-d465238,munit-cats-effect-2,munit-cats-effect-3
1.0-24-5507a72,munit-cats-effect-2,munit-cats-effect-3
1.0-22-8f27cd1,munit-cats-effect-2,munit-cats-effect-3
1.0-20-3896f47,munit-cats-effect-2,munit-cats-effect-3
1.0-18-0932be3,munit-cats-effect-2,munit-cats-effect-3
1.0-16-0d102a2,munit-cats-effect-2,munit-cats-effect-3
1.0-14-7288ccc,munit-cats-effect-2,munit-cats-effect-3
1.0-11-595d5ab,munit-cats-effect-2,munit-cats-effect-3
1.0-8-c66e7dd,munit-cats-effect-2,munit-cats-effect-3
1.0-6-0c79cdc,munit-cats-effect-2,munit-cats-effect-3
1.0-4-d558779,munit-cats-effect-2,munit-cats-effect-3
1.0-2-59e07e3,munit-cats-effect-2,munit-cats-effect-3
1.0.6,munit-cats-effect-2,munit-cats-effect-3
1.0-71-3d87ec4,munit-cats-effect-2,munit-cats-effect-3
0.4-70-156d308,munit-cats-effect-2,munit-cats-effect-3
0.4-66-275e6c3,munit-cats-effect-2,munit-cats-effect-3
0.4-68-0c656e1,munit-cats-effect-2,munit-cats-effect-3
0.4-64-048af7d,munit-cats-effect-2,munit-cats-effect-3
0.4-62-88364be,munit-cats-effect-2,munit-cats-effect-3
0.4-60-3399cac,munit-cats-effect-2,munit-cats-effect-3
0.4-59-c260802,munit-cats-effect-2,munit-cats-effect-3
0.4-58-51288ff,munit-cats-effect-2,munit-cats-effect-3
0.4-57-68022a5,munit-cats-effect-2,munit-cats-effect-3
0.4-56-77a6430,munit-cats-effect-2,munit-cats-effect-3
0.4-54-aacfab9,munit-cats-effect-2,munit-cats-effect-3
0.4-53-aa4db61,munit-cats-effect-2,munit-cats-effect-3
0.4-51-09f31f0,munit-cats-effect-2,munit-cats-effect-3
0.4-49-44d97de,munit-cats-effect-2,munit-cats-effect-3
0.4-48-8bd3dd0,munit-cats-effect-2,munit-cats-effect-3
0.4-45-e4911e4,munit-cats-effect-2,munit-cats-effect-3
0.4-43-993a731,munit-cats-effect-2,munit-cats-effect-3
0.4-41-fe8a4d3,munit-cats-effect-2,munit-cats-effect-3
0.4-39-7128172,munit-cats-effect-2,munit-cats-effect-3
0.4-35-bfbd823,munit-cats-effect-2,munit-cats-effect-3
0.4-32-f98f100,munit-cats-effect-2,munit-cats-effect-3
0.4-29-3a6616b,munit-cats-effect-2,munit-cats-effect-3
0.4-27-bdd3559,munit-cats-effect-2,munit-cats-effect-3
0.4-25-430be82,munit-cats-effect-2,munit-cats-effect-3
0.4-23-e7cd49d,munit-cats-effect-2,munit-cats-effect-3
0.4-21-3f9f3ec,munit-cats-effect-2,munit-cats-effect-3
0.4-17-d69a44e,munit-cats-effect-2,munit-cats-effect-3
0.4-15-e805030,munit-cats-effect-2,munit-cats-effect-3
0.4-13-c35fbe5,munit-cats-effect-2,munit-cats-effect-3
0.4-11-aa56c14,munit-cats-effect-2,munit-cats-effect-3
0.4-9-49bed81,munit-cats-effect-2,munit-cats-effect-3
0.4-6-2e9a959,munit-cats-effect-2,munit-cats-effect-3
0.4-4-7e800b9,munit-cats-effect-2,munit-cats-effect-3
1.0.5,munit-cats-effect-2,munit-cats-effect-3
0.4-15-431ceed,munit-cats-effect-2,munit-cats-effect-3
0.4-13-5213bc5,munit-cats-effect-2,munit-cats-effect-3
0.4-11-fa08674,munit-cats-effect-2,munit-cats-effect-3
0.4-10-75feefa,munit-cats-effect-2,munit-cats-effect-3
0.4-9-49f7365,munit-cats-effect-2,munit-cats-effect-3
0.4-6-83ba818,munit-cats-effect-2,munit-cats-effect-3
0.4-4-ded0fd8,munit-cats-effect-2,munit-cats-effect-3
0.4-3-c614b7c,munit-cats-effect-2,munit-cats-effect-3
1.0.3,munit-cats-effect-2,munit-cats-effect-3
0.4-6-bba13db,munit-cats-effect-2,munit-cats-effect-3
