akka,akka,12634
playframework,playframework,12341
lampepfl,dotty,5250
typelevel,cats,4866
sbt,sbt,4640
scalaz,scalaz,4604
didi,booster,4374
scala-native,scala-native,4289
line,armeria,4161
zio,zio,3735
scalanlp,breeze,3390
milessabin,shapeless,3323
scalatra,scalatra,2584
twitter,util,2582
com-lihaoyi,ammonite,2557
spray,spray,2523
http4s,http4s,2384
circe,circe,2371
typelevel,fs2,2210
zio,zio-quill,2110
tpolecat,doobie,2037
sangria-graphql,sangria,1930
monix,monix,1886
typelevel,scalacheck,1854
typelevel,cats-effect,1739
typelevel,spire,1719
sksamuel,elastic4s,1617
japgolly,scalajs-react,1609
fthomas,refined,1595
thoughtworksinc,binding.scala,1575
optics-dev,monocle,1568
almond-sh,almond,1490
pathikrit,better-files,1452
json4s,json4s,1441
tpolecat,skunk,1418
scopt,scopt,1394
kamon-io,kamon,1369
pureconfig,pureconfig,1354
softwaremill,sttp,1337
akka,akka-http,1314
joernio,joern,1257
akka,alpakka,1250
scalapb,scalapb,1236
scalikejdbc,scalikejdbc,1234
softwaremill,macwire,1208
softwaremill,tapir,1173
lloydmeta,enumeratum,1145
scalatest,scalatest,1092
wartremover,wartremover,1018
lightbend-labs,scala-logging,887
typelevel,squants,880
nscala-time,nscala-time,871
ghostdogpr,caliban,856
reactivemongo,reactivemongo,837
scodec,scodec,787
openlink,virtuoso-opensource,779
cb372,scalacache,760
softwaremill,quicklens,756
seratch,awscala,740
etorreborre,specs2,731
com-lihaoyi,scalatags,714
sirthias,parboiled2,708
unfiltered,unfiltered,707
ruippeixotog,scala-scraper,697
sksamuel,avro4s,693
softwaremill,magnolia,684
com-lihaoyi,requests-scala,673
tototoshi,scala-csv,667
scallop,scallop,653
com-lihaoyi,upickle,650
jwt-scala,jwt-scala,632
plokhotnyuk,jsoniter-scala,622
shadaj,slinky,621
scalafx,scalafx,620
scala,scala-parser-combinators,617
zio,zio-http,614
wvlet,airframe,591
bkirwi,decline,588
com-lihaoyi,os-lib,578
squeryl,squeryl,578
fomkin,korolev,577
testcontainers,testcontainers-scala,569
7mind,izumi,559
enragedginger,akka-quartz-scheduler,554
typelevel,cats-collections,551
atnos-org,eff,546
argonaut-io,argonaut,539
playframework,twirl,520
47degrees,fetch,490
com-lihaoyi,sourcecode,489
typelevel,kittens,485
fasterxml,jackson-module-scala,483
scalapy,scalapy,483
com-lihaoyi,utest,466
spotify,featran,462
purplekingdomgames,indigo,453
outr,scribe,441
scala,scala-java8-compat,437
com-lihaoyi,cask,435
whisklabs,docker-it-scala,431
erikvanoosten,metrics-scala,424
lightbend,mima,423
typelevel,jawn,421
akka,akka-grpc,419
clulab,processors,418
scoverage,scalac-scoverage-plugin,408
zio,zio-prelude,407
lego,woof,407
endpoints4s,endpoints4s,392
typelevel,algebra,381
vlovgr,ciris,377
zio,zio-json,373
virtuslab,scala-cli,371
suzaku-io,boopickle,365
higherkindness,droste,365
shiftleftsecurity,codepropertygraph,364
planet42,laika,362
scalameta,mdoc,360
tpolecat,atto,354
scalameta,munit,354
typelevel,log4cats,353
jmcardon,tsec,351
disneystreaming,weaver-test,350
playframework,play-json,342
higherkindness,mu-scala,340
softwaremill,retry,338
japgolly,scalacss,332
http4s,blaze,332
typelevel,mouse,329
iheartradio,ficus,327
typelevel,discipline,318
scanamo,scanamo,316
softwaremill,diffx,313
scalikejdbc,scalikejdbc-async,312
valskalla,odin,303
lemonlabsuk,scala-uri,299
